RoW Tier 1,MTMMU
Row Tier 2,ORGMU
RoW Tier 2,SRRRE
RoW Tier 3,MVSMX
Preferred Partners,TCLMX
RoW Tier 1,IUCMX
RoW Tier 5,MLDMD
Row Tier 5,ORGMD
EU28+2 others,BOUFR
RoW Tier 3,TLCMC
EU28+2 others,ORGFR
Preferred Partners,SFRFR
RoW Tier 5,MCMMN
RoW Tier 3,UTLMN
RoW Tier 1,MTEME
RoW Tier 2,TNRME
RoW Tier 5,TMOME
RoW Tier 5,TMOME
RoW Tier 1,CAWMS
RoW Tier 3,MARMA
RoW Tier 3,MEDMA
RoW Tier 2,WANMA
Row Tier 5,MCLMZ
Preferred Partners,VFMZ
RoW Tier 5,MPTMM
RoW Tier 3,MTCNA
RoW Tier 5,TNMNA
Row Tier 5,DGCFJ
Row Tier 5,NCLNP
RoW Tier 3,NTCNP
Vodafone networks,VFNL
RoW Tier 5,TLCAN
Row Tier 3,UTSAN
Row Tier 5,OPTNC
Vodafone networks,VFNZ
RoW Tier 1,XTMNZ
Preferred Partners,CLRNI
RoW Tier 1,MVSNI
RoW Tier 3,ZAINE
RoW Tier 1,TCLNE
RoW Tier 3,ZAING
RoW Tier 5,ETING
RoW Tier 5,GLMNG
RoW Tier 3,MTNNG
Row Tier 5,NDOGU
EU28+2 others,NETNO
EU28+2 others,NNONO
Preferred Partners,TNRNO
RoW Tier 5,NAWOM
Row Tier 3,OMBOM
Row Tier 3,MBKPA
RoW Tier 3,UFNPK
RoW Tier 1,WARPK
Row Tier 5,ZNGPK
RoW Tier 3,CLCIL
RoW Tier 1,JWLPS
RoW Tier 1,ORGIL
RoW Tier 5,WATPS
RoW Tier 1,CAWPA
Preferred Partners,CLRPA
RoW Tier 2,DGCPA
RoW Tier 3,MVSPA
Row Tier 5,DGCPG
RoW Tier 1,BMOPG
RoW Tier 1,TIGPY
Preferred Partners,CLRPY
RoW Tier 5,VOXPY
Preferred Partners,CLAPE
Row Tier 1,NEXPE
RoW Tier 3,MOVPE
RoW Tier 2,GLOPH
Preferred Partners,SMTPH
RoW Tier 5,SNCPH
EU28+2 others,ERAPL
EU28+2 others,ORGPL
EU28+2 others,PLAPL
Preferred Partners,POLPL
EU28+2 others,OPTPT
EU28+2 others,TMNPT
Vodafone networks,VFPT
Preferred Partners,CGLUS
Preferred Partners,CGLUS
Preferred Partners,CLRPR
Preferred Partners,TMBUS
Row Tier 3,QTLQA
Vodafone networks,VFQA
RoW Tier 1,OTRRE
RoW Tier 2,SRRRE
EU28+2 others,DGIRO
EU28+2 others,ORGRO
Vodafone networks,VFRO
EU28+2 others,TLKRO
RoW Tier 5,VIMRU
Row Tier 3,MEGRU
RoW Tier 5,MOTRU
Preferred Partners,MTSRU
Row Tier 5,NCCRU
RoW Tier 5,RTCRU
RoW Tier 2,ATLRW
RoW Tier 3,MTNRW
Row Tier 5,TIGRW
RoW Tier 3,DGCJM
RoW Tier 5,DGCWS
RoW Tier 1,PRISM
EU28+2 others,TIMIT
Vodafone networks,VFIT
EU28+2 others,WINIT
Row Tier 5,CSTST
Row Tier 5,MBYSA
RoW Tier 3,STCSA
Preferred Partners,ZAISA
Row Tier 5,EXPSN
RoW Tier 3,ORGSN
Row Tier 5,TIGSN
RoW Tier 1,MTSRS
RoW Tier 2,TNRRS
Preferred Partners,VIPRS
RoW Tier 1,AIRSC
Row Tier 5,CAWSC
RoW Tier 3,ATLSL
RoW Tier 1,MBNSG
RoW Tier 2,SINSG
Preferred Partners,SHBSG
EU28+2 others,ORGSK
EU28+2 others,TMBSK
EU28+2 others,MTLSI
Preferred Partners,VFSI
EU28+2 others,TUSSI
RoW Tier 5,BMOSB
RoW Tier 5,CLCZA
RoW Tier 1,MTNZA
Vodafone networks,VFZA
RoW Tier 5,TLKSA
RoW Tier 1,ZAISS
EU28+2 others,MVSES
EU28+2 others,AMNES
Vodafone networks,VFES
RoW Tier 5,ATLLK
Preferred Partners,DLGLK
RoW Tier 2,ETILK
